id,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
178,15913,2061,117961,118327,120383,118641,120319,118643,118644,1
179,25098,2003,118441,118442,118378,118054,121603,117887,118055,1
180,25312,69981,118595,118596,118706,118172,130384,249618,118175,1
181,1151,50117,117961,118327,118507,118863,122008,118398,118865,1
182,79092,70264,117961,118343,118437,124435,118362,118363,124436,1
183,44644,50997,117961,118052,120539,118321,118448,290919,118322,1
184,86292,8715,117961,118052,119986,118321,117906,290919,118322,1
185,4675,8563,117961,118300,118783,117905,117906,290919,117908,1
186,34580,1398,117961,118300,120722,118784,130735,290919,118786,1
187,18913,273476,117926,118266,117920,118568,310732,19721,118570,0
188,16321,7014,117961,118446,119961,118278,118260,290919,118279,1
189,80780,4272,117961,118343,120666,123045,123107,120518,123047,1
190,44976,7691,118555,118178,117945,117946,119114,292795,117948,0
191,41235,59000,118181,118182,117941,118568,292195,19721,118570,1
192,7543,6257,117961,118343,120722,118784,117906,290919,118786,1
193,3853,20560,117876,117877,117878,117879,117879,19721,117880,1
194,34396,34375,117961,117969,189629,179731,123099,117887,117973,1
195,41643,13854,117961,118052,118821,118278,117906,290919,118279,1
196,80057,7084,117961,118386,121961,118318,130278,118205,118319,1
197,38964,4341,117961,118343,118957,118321,117906,290919,118322,1
198,16619,14731,117961,118446,118447,121594,170665,4673,121596,1
199,4675,4362,118212,118213,126955,118685,120316,308574,118687,1
200,79228,13400,117983,117984,117878,117879,117879,19721,117880,1
201,36480,15541,118573,118574,118556,280788,127423,292795,119082,1
202,20279,50625,117916,118150,117884,117885,117913,117887,117888,1
203,42873,4590,117961,118343,118395,123067,269406,118398,123068,1
204,37942,11439,117935,117936,117878,117885,117913,117887,117888,1
205,36674,14633,118106,118107,117884,117879,117886,19721,117880,1
206,25831,55161,118752,119070,118754,119885,118806,118474,119887,1
207,35196,16643,119134,119135,118701,119587,284481,118704,119589,1
208,39518,7822,117961,118327,118492,118777,174445,308574,118779,1
209,41649,4084,117961,118052,118992,118321,117906,290919,118322,1
210,7543,4554,117961,118300,118514,118259,118260,290919,118261,0
211,75078,75114,118315,118463,118522,307024,294485,118331,118332,1
212,16153,79105,119062,119063,124211,120516,123107,120518,120519,1
213,33155,1915,117961,118300,119181,118784,117906,290919,118786,1
214,7543,23144,117961,118225,118403,120690,120690,290919,120692,1
215,42942,5235,120864,121013,121961,118523,246167,118331,118525,1
216,13878,54261,117890,117891,117878,118568,123862,19721,118570,1
217,20292,50448,117926,118124,117884,117879,117886,19721,117880,1
218,42031,2071,117961,118386,118501,118502,130777,118504,118505,1
219,6914,5518,117961,118300,118514,118259,132715,290919,118261,1
220,75834,21033,117961,118300,123749,118777,279443,308574,118779,1
221,39233,5659,117961,118300,124725,117905,117906,290919,117908,1
222,40867,87910,91261,118026,119507,118278,118260,290919,118279,1
223,25213,1311,117961,117962,118910,118451,123503,118453,118454,1
224,55554,1448,117902,117903,120722,117905,117906,290919,117908,1
225,75078,3230,117961,118386,121961,120348,249620,118295,120350,1
226,31299,1605,117961,118327,128935,149337,205238,118398,149339,1
227,79948,4932,117961,118225,119824,123737,147851,118960,123738,1
228,78845,81794,117961,118052,119972,122551,159682,118762,122552,1
229,38470,72734,118079,118080,117878,117885,118177,117887,117888,1
230,45976,16527,91261,118026,118202,118321,117906,290919,118322,1
231,74818,4274,117961,118327,118744,120591,183734,119095,120593,1
232,70452,13401,117980,117981,118246,179731,141712,117887,117973,1
233,40438,17640,117961,118052,118706,118318,120689,118205,118319,1
234,20279,72322,117916,118011,117884,117885,117913,117887,117888,1
235,967,2855,118169,118170,119262,117946,125711,292795,117948,0
236,36772,51491,118074,23779,117884,117879,117886,19721,117880,1
237,43431,120000,117961,118225,119136,120056,255657,118474,120058,1
238,4675,69637,119062,119091,118535,117905,117906,290919,117908,1
239,25993,4933,117961,118300,118458,307024,301218,118331,118332,1
240,25231,1038,118887,118888,118889,118863,307233,118398,118865,1
241,6977,5697,117961,118386,118692,118784,117906,290919,118786,1
242,99461,1088,117961,118327,119830,117905,117906,290919,117908,1
243,42881,1988,117961,118446,16232,117905,117906,290919,117908,1
244,80973,15746,117961,118052,119742,118321,118448,290919,118322,1
245,17825,13836,119920,119921,142145,128230,302830,4673,128231,1
246,43876,58954,118079,118080,117878,117885,118177,117887,117888,1
247,74161,7586,117961,118225,118403,118321,117906,290919,118322,1
248,24890,3692,117961,118413,126229,121594,207709,4673,121596,1
249,6977,70056,117961,118225,118403,118777,279443,308574,118779,1
250,107225,15389,117961,118225,122870,119928,129017,118331,119929,0
251,44909,4659,117961,118225,120663,118784,147114,290919,118786,1
252,74283,25618,117961,118327,118320,118523,310608,118331,118525,1
253,34075,221,117961,118413,120370,118321,118448,290919,118322,1
254,75078,46608,118315,118463,122636,120773,123148,118960,120774,1
255,42093,2594,117961,118300,123472,118259,118260,290919,118261,1
256,3057,1398,117961,118300,120722,118321,117906,290919,118322,1
257,27416,1549,118084,118085,117920,118129,132803,118131,118132,1
258,74347,33266,117961,118300,123719,117905,240983,290919,117908,1
259,21751,56199,117961,118052,118881,117905,117906,290919,117908,0
260,73562,13845,117961,117962,120526,118784,310608,290919,118786,1
261,29304,98229,117975,117976,117884,117879,117886,19721,117880,1
262,39353,85475,117961,118300,120410,118784,117906,290919,118786,1
263,25744,6225,117961,118343,120722,118784,117906,290919,118786,1
264,78816,6216,117961,118052,118328,124886,306399,118643,124888,1
265,38714,3692,117961,118413,120370,121594,170665,4673,121596,1
266,38840,7915,117961,118300,118597,118834,127160,118424,118836,1
267,39395,49423,117961,118052,123144,118396,269406,118398,118399,1
268,1003,7220,117961,118225,120551,117905,186454,290919,117908,1
269,34886,4639,117961,118343,118856,118278,117906,290919,118279,1
270,4675,13871,117961,118300,118514,118321,240983,290919,118322,1
271,42093,70128,118595,118596,81476,118834,153821,118424,118836,1
272,17308,4933,117961,118343,118458,120006,311622,118424,120008,1
273,16301,217,117961,118413,120370,118321,117906,290919,118322,1
274,42976,4713,117961,118052,120398,120344,311360,118424,120346,1
275,75272,4918,117961,118300,123055,120344,311360,118424,120346,1
276,27416,50601,117916,117917,117941,117879,117886,19721,117880,0
277,35376,28163,118315,118316,120361,118321,175154,290919,118322,1
278,98033,4549,117961,118225,120050,117905,117906,290919,117908,1
279,18072,57715,117961,118446,118701,118702,129679,118704,118705,1
280,44592,7081,117961,118225,119924,118685,120316,308574,118687,1
281,22481,30533,91261,118026,119507,123648,123107,120518,123650,1
282,80473,6454,117961,118343,118856,120773,165589,118960,120774,1
283,79121,55119,119062,119091,123125,134095,300136,118474,118475,1
284,41594,91342,117961,118327,118933,209874,311622,308574,209875,1
285,75338,8280,118212,118580,117895,117896,117897,117887,117898,1
286,15922,123020,117961,118300,118514,118321,117906,290919,118322,1
287,16333,7021,117961,118300,118783,118784,287626,290919,118786,1
288,42972,49323,118990,118991,118992,118321,117906,290919,118322,1
289,80202,3000,117961,118225,120551,118321,118448,290919,118322,1
290,917,5313,117961,118386,120356,120357,201020,118424,120359,0
291,45481,17270,117961,118300,128830,118826,150790,118424,118828,1
292,6094,15015,117961,118413,122007,118321,117906,290919,118322,1
293,45035,61948,118163,118164,117878,117879,208308,19721,117880,1
294,302049,2685,122880,122974,117945,117946,149467,292795,117948,1
295,79299,17059,117902,118041,118556,118274,119248,292795,118276,1
296,28294,4100,118290,118291,124668,119928,278266,118331,119929,1
297,32270,5178,117961,118343,118660,118826,158101,118424,118828,1
298,4684,60121,121785,121786,119922,118784,203564,290919,118786,1
299,79092,7212,117961,118300,124725,118784,117906,290919,118786,1
300,17308,5039,117961,118343,123125,119849,282370,118638,119851,1
301,98464,53208,118602,118603,118810,310825,149047,117887,121395,1
302,32270,1334,117961,117962,118910,118054,118368,117887,118055,1
303,40189,5210,117961,118343,119598,119433,133686,118424,119435,1
304,37793,1923,117902,117903,118783,117905,117906,290919,117908,1
305,16997,15945,118290,118291,121617,124799,152247,121620,124801,1
306,80674,49453,117961,118343,118660,118912,309291,118424,118914,1
307,81478,5504,117961,118300,118514,118685,132642,308574,118687,1
308,77178,3225,117961,118327,118929,118321,117906,290919,118322,1
309,32270,18236,117961,118052,120304,122297,301475,118331,118899,1
310,17795,54684,117961,117962,118910,118777,279443,308574,118779,1
311,14570,57816,118219,118220,118810,118811,128802,19793,118813,1
312,15064,2363,117961,117962,141383,118368,118368,117887,118486,1
313,42919,6222,117961,118052,118746,117905,117906,290919,117908,1
314,17308,5043,117961,118300,118458,118523,129545,118331,118525,1
315,30999,2942,117961,118343,118700,118784,117906,290919,118786,1
316,3853,4716,118290,118291,120026,120344,165069,118424,120346,1
317,75834,49384,117961,118343,118609,118728,301534,118295,118730,1
318,34536,55941,117961,118327,122109,117905,117906,290919,117908,1
319,4675,58719,117961,118386,119954,118318,168365,118205,118319,0
320,79092,108732,119062,119091,118684,122989,131688,119006,122991,0
321,915,770,117961,118300,120722,118451,142600,118453,118454,1
322,27082,141,117961,118225,122273,117905,240983,290919,117908,1
323,23921,17261,117961,118343,118833,118054,124356,117887,118055,1
324,23194,1398,117961,118300,120722,118321,117906,290919,118322,1
325,70086,76523,117983,117984,117878,118568,292195,19721,118570,1
326,79092,6454,117961,118343,118856,118321,117906,290919,118322,1
327,78833,1334,117961,117962,118910,119949,230830,290919,119951,1
328,15361,27,117961,118413,120370,118321,117906,290919,118322,1
329,25993,4918,117961,118300,123055,120344,311360,118424,120346,1
330,971,4219,117961,118300,120312,120313,157234,118424,120315,0
331,73112,27104,117961,118327,118507,118054,120716,117887,118055,1
332,3853,114489,117961,118413,119968,118784,117906,290919,118786,1
333,34498,4125,118887,118888,121108,120006,311746,118424,120008,1
334,18394,14855,117961,118300,123719,118451,153802,118453,118454,1
335,20349,25813,117961,118300,118066,120988,213772,118643,120989,1
336,77343,2858,118219,118220,118344,127847,128352,118347,127848,1
337,25993,1409,117961,118300,118437,118321,117906,290919,118322,1
338,39511,4118,117876,117877,117878,118568,292195,19721,118570,1
339,20303,718,117961,118300,119181,118259,126363,290919,118261,1
340,34950,91342,117961,118327,118933,307024,311622,118331,118332,1
341,79121,4736,117961,118300,118301,307024,204593,118331,118332,1
342,74343,52105,118595,118596,81476,118422,170384,118424,118425,1
343,33146,1271,117961,118327,118507,118863,127778,118398,118865,1
344,3853,49302,117961,118343,118514,118321,240983,290919,118322,1
345,80920,3973,118887,118888,118631,118912,309291,118424,118914,1
346,77203,15621,117961,119256,120943,126684,126684,292795,126685,0
347,16495,26009,117961,118446,119986,118777,279443,308574,118779,0
348,38655,4993,117961,118300,118979,118912,309291,118424,118914,1
349,107522,25262,117961,118327,118320,123067,137949,118398,123068,1
350,4675,23339,117961,118300,118783,118321,118406,290919,118322,1
351,34073,217,117961,118413,120370,118321,117906,290919,118322,1
352,80685,17694,117961,118343,119598,117905,117906,290919,117908,1
353,81261,5496,91261,118026,118202,117905,117906,290919,117908,1
354,108223,4474,117961,118446,119064,117905,117906,290919,117908,1
355,90526,3889,117961,118386,121883,117905,117906,290919,117908,1
356,45089,1475,91261,118026,118450,118641,123881,118643,118644,1
357,52683,56007,117980,118076,117912,118568,117886,19721,118570,1
358,34026,5456,117961,118225,118403,118321,117906,290919,118322,1
359,42031,92216,118315,118316,120764,118465,175082,118467,118468,1
360,34628,2034,117961,118052,118328,299559,118204,118205,163732,1
361,13878,12456,117935,117936,117878,117879,117879,19721,117880,1
362,80826,5396,117961,118343,119993,120773,118959,118960,120774,1
363,33616,8234,117961,118300,118783,117905,117906,290919,117908,1
364,917,1030,117961,118343,120722,118361,118362,118363,118364,1
365,4675,111936,117961,118300,118783,118784,117906,290919,118786,1
366,84071,15746,117961,118052,119742,118321,117906,290919,118322,1
367,80160,6482,117961,118052,118821,118321,117906,290919,118322,1
368,38482,350,118216,118217,117941,117885,117913,117887,117888,1
369,82277,7278,91261,118026,118202,118321,117906,290919,118322,1
370,32270,25293,117961,118386,123072,121414,130802,118704,121416,1
371,18293,17787,118114,118115,118846,179731,140758,117887,117973,1
372,80540,3119,117961,118300,120312,119849,236236,118638,119851,1
373,42713,19642,117961,118413,118481,118321,117906,290919,118322,1
374,256,6440,118216,118217,117941,118568,281735,19721,118570,1
375,33111,3000,117961,118225,120551,117905,240983,290919,117908,1
376,38239,51165,117983,117984,117878,118568,120877,19721,118570,1
377,36429,77306,119280,119281,117945,280788,280788,292795,119082,1
378,3066,770,117961,118300,120722,118747,130134,118453,118749,1
379,42085,17058,117961,118300,119488,118728,301534,118295,118730,1
380,72191,16243,117961,118327,118933,118841,128747,118643,118843,1
381,34958,2061,117961,118327,120383,118641,306399,118643,118644,1
382,74627,14349,118976,118977,117895,117879,118250,19721,117880,1
383,40204,20382,117961,118300,124942,118784,117906,290919,118786,1
384,91620,19760,117961,117962,118352,118321,117906,290919,118322,1
385,4685,47,119920,119921,176153,117905,117906,290919,117908,1
386,25322,123367,117932,117933,117878,117879,117897,19721,117880,1
387,80536,3656,117961,118300,118631,118924,153285,118667,118926,1
388,77951,96511,117922,117923,118810,122927,121125,118131,122929,1
389,32270,23225,117961,118300,119984,120647,311441,118398,120649,1
390,77295,56137,117961,118327,118862,118396,269406,118398,118399,1
391,31441,16972,118887,118888,119987,119849,240725,118638,119851,1
392,43876,56596,118079,118080,117878,117879,304519,19721,117880,1
393,34924,25262,117961,118327,118320,118685,310608,308574,118687,1
394,25990,4263,121785,121786,119142,118321,117906,290919,118322,1
395,38713,15612,117902,118041,118556,280788,280788,292795,119082,1
396,15915,54248,117961,118327,120559,120618,304465,118643,120619,1
397,45990,7705,117887,118178,117945,259173,141966,292795,118943,1
398,17308,72287,126918,126919,118042,118043,118043,270488,118046,1
399,80193,1325,117961,117969,118910,118054,118054,117887,118055,1
400,25279,15390,117961,118300,118301,120344,311360,118424,120346,0
401,79562,13876,117961,118386,118404,118841,240982,118643,118843,0
402,18418,6732,117961,117969,6725,120527,275449,6725,120529,1
403,80874,4589,117961,118327,120383,117905,240983,290919,117908,0
404,73756,2685,122880,122974,117945,117946,149467,292795,117948,1
405,29697,19956,117961,118327,274241,118777,133772,308574,118779,1
406,78185,15683,117961,118300,118957,118777,279443,308574,118779,1
407,34156,3692,117961,118413,126229,128230,302830,4673,128231,1
408,7678,17059,117902,118041,117945,259173,191237,292795,118943,1
409,76545,3558,117902,118041,118042,118043,118044,270488,118046,1
410,44641,5320,118290,118291,119598,120344,260942,118424,120346,1
411,80368,5140,119062,119091,121710,117905,117906,290919,117908,1
412,41594,3225,117961,118327,118929,118685,279443,308574,118687,1
413,42085,22458,117961,117962,120677,307024,306404,118331,118332,1
414,43056,2610,117961,118327,121979,118321,240983,290919,118322,1
415,26437,56310,118212,118580,117895,117896,117913,117887,117898,1
416,40997,19286,117961,118225,121716,118636,310589,118638,118639,1
417,43431,18185,117961,118225,129617,121414,269394,118704,121416,1
418,33111,4542,117961,118225,120551,128230,302830,4673,128231,1
419,43280,3281,117961,118225,119238,122849,120324,119095,122850,1
420,75834,1912,119134,119135,118042,117896,287998,117887,117898,1
421,102270,111936,117961,118300,118783,117905,117906,290919,117908,1
422,34865,3722,117961,118300,120059,119849,124718,118638,119851,1
423,23921,4821,117961,118343,119598,118980,304760,118295,118982,1
424,23096,17598,117961,118300,118631,135809,176829,118331,135811,1
425,44594,2014,117961,117962,117904,120773,127525,118960,120774,1
426,39879,55642,118256,118257,117945,118995,118806,292795,118997,0
427,74466,7398,117961,118225,119924,118321,117906,290919,118322,1
428,4675,4567,117961,118300,118514,118318,168365,118205,118319,1
429,22282,19697,117935,117936,117878,117885,117937,117887,117888,1
430,45338,2378,117876,117877,117878,247659,163031,19721,247660,1
431,41495,7539,117961,118343,119987,118321,117906,290919,118322,1
432,39932,2819,119062,119091,120410,118028,310589,117887,118030,1
433,42093,5002,117961,118343,119598,118422,300136,118424,118425,1
434,16421,4584,117961,118300,120297,117905,117906,290919,117908,1
435,107802,4511,117961,118300,119181,118784,117906,290919,118786,1
436,41325,14810,117961,118413,120370,117905,117906,290919,117908,1
437,28294,7519,91261,118026,118202,118784,124402,290919,118786,1
438,29697,49096,118212,159716,118378,120952,159717,118453,120954,1
439,15018,133801,119062,119091,118535,117905,117906,290919,117908,1
440,74302,55636,117916,118011,117920,119192,139264,119184,119194,1
441,20293,547,117926,117927,117884,117885,117913,117887,117888,1
442,78882,52056,118212,118213,119734,153957,153958,118667,153959,1
443,42019,4362,117961,118343,126955,118777,279443,308574,118779,0
444,74310,7579,117961,118300,120722,118685,123004,308574,118687,1
445,33993,30527,117961,118225,120551,119928,127692,118331,119929,1
